HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),N_FacilitiesInApt,SalePrice,TimeToSubway_min,Age,Size_m2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,123893,7.5,20,53.140516
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,216814,2.5,17,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,116814,17.5,32,84.913342
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,382300,2.5,18,137.775149
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,300884,2.5,19,161.929929
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,172566,12.5,39,105.07329299999999
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,119469,17.5,32,59.829532
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,185840,12.5,39,105.07329299999999
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,87610,17.5,32,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,255442,2.5,12,84.54173
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,325221,2.5,11,78.317229
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,169911,7.5,20,84.913342
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,161946,2.5,17,77.016587
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,247787,12.5,19,59.086308
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,168141,17.5,32,59.829532
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,159557,30.0,16,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,252814,2.5,12,84.263021
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,212389,2.5,17,84.913342
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,54867,2.5,45,84.54173
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,3,110619,7.5,39,47.194724
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,153982,7.5,20,53.140516
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,124778,17.5,32,84.913342
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,136283,17.5,33,84.913342
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,225663,2.5,18,102.472009
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,54867,12.5,33,32.980565
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,334513,2.5,18,80.639804
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,265486,2.5,19,83.891409
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,161946,17.5,32,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,187610,17.5,32,84.913342
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,264601,30.0,16,84.54173
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,277876,2.5,18,131.829357
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,221238,17.5,32,84.913342
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,192920,12.5,19,84.54173
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,92035,17.5,32,59.829532
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,261061,2.5,11,59.45792
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,194690,12.5,19,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,255442,2.5,12,84.54173
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,290265,2.5,18,129.506782
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,428318,2.5,18,152.63962899999999
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,177699,12.5,19,75.344333
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,188495,2.5,18,80.639804
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,64601,12.5,33,53.512128
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,1,59292,7.5,11,14.492868
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,320353,2.5,19,133.501611
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,245575,7.5,20,69.026929
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,118584,17.5,33,59.829532
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,1,59911,7.5,11,14.492868
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,234513,30.0,16,107.76748
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,202212,2.5,19,83.891409
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,287610,2.5,18,102.472009
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,218584,2.5,18,80.639804
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,291415,2.5,18,131.829357
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,194690,7.5,20,109.997152
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,305309,12.5,39,127.927431
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,283185,2.5,18,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,82300,17.5,32,59.829532
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,201566,30.0,16,84.54173
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,233628,2.5,17,77.016587
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,197345,12.5,39,105.07329299999999
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,109734,7.5,20,53.140516
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,296460,2.5,18,80.639804
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,203646,30.0,16,84.54173
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,10,451327,2.5,11,116.314556
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,138938,12.5,33,59.45792
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,143805,12.5,19,59.086308
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,84070,7.5,11,26.756064
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,314159,2.5,12,84.263021
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,269911,2.5,11,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,211504,17.5,32,84.913342
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,76106,17.5,28,51.839874
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,237168,2.5,18,80.639804
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,314159,2.5,19,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,266371,2.5,18,80.639804
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,389380,7.5,10,84.54173
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,185840,17.5,32,134.802253
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,153982,17.5,33,59.829532
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,199115,30.0,16,84.54173
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,3,189380,2.5,47,83.891409
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,238938,2.5,17,84.913342
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,123893,17.5,22,84.263021
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,276991,2.5,18,129.506782
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,296460,2.5,18,102.472009
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,146256,2.5,12,59.829532
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,38053,12.5,33,32.980565
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,455752,2.5,18,157.00607
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,271681,7.5,20,84.913342
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,223008,2.5,18,102.472009
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,1,60176,7.5,11,14.492868
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,110619,17.5,33,84.913342
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,419469,2.5,18,151.338987
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,157522,17.5,32,84.913342
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,46017,12.5,33,32.980565
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,73053,7.5,20,53.140516
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,243362,12.5,19,84.54173
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,285840,30.0,16,84.54173
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,242920,12.5,19,84.54173
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,370796,2.5,18,137.775149
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,212389,12.5,39,127.927431
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,486725,2.5,18,152.63962899999999
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,75920,7.5,20,53.140516
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,207079,17.5,32,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,181415,17.5,32,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,123008,17.5,32,84.913342
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,150442,17.5,33,59.829532
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,141592,7.5,20,69.026929
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,357522,2.5,18,80.639804
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,146256,2.5,12,59.829532
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,406194,2.5,19,131.179036
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,205309,7.5,20,69.026929
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,255309,2.5,18,80.639804
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,236283,7.5,20,69.026929
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,293805,2.5,17,77.016587
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,283185,2.5,11,59.45792
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,207079,2.5,18,80.639804
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,371681,12.5,39,166.853788
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,149274,2.5,12,59.829532
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,69911,7.5,40,54.534061
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,472566,2.5,18,152.63962899999999
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,149557,17.5,32,59.829532
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,336283,12.5,39,127.927431
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,114159,12.5,33,53.512128
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,250442,2.5,19,106.745547
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,340707,2.5,18,152.63962899999999
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,351327,2.5,11,84.54173
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,296460,7.5,20,84.913342
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,105309,7.5,11,26.756064
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,231858,7.5,20,69.026929
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,161061,7.5,20,53.140516
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,73008,12.5,33,32.980565
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,141592,12.5,19,84.54173
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,75504,7.5,20,53.140516
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,3,46902,7.5,39,41.899253
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,214159,12.5,19,84.54173
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,43185,12.5,33,32.980565
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,262831,12.5,39,121.981639
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,176991,12.5,39,105.07329299999999
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,194690,7.5,20,84.913342
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,1,57522,7.5,11,12.541905
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,382300,7.5,10,84.913342
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,170353,2.5,17,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,205309,7.5,20,69.026929
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,86725,7.5,40,54.534061
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,370796,2.5,11,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,245132,2.5,18,80.639804
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,10,371681,2.5,11,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,234513,7.5,20,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,161504,17.5,32,84.913342
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,165486,12.5,19,75.623042
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,157522,12.5,39,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,75088,7.5,20,53.140516
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,10,376106,2.5,11,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,75088,7.5,20,53.140516
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,176991,12.5,39,105.07329299999999
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,3,100000,7.5,39,47.194724
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,360176,2.5,18,157.00607
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,206194,7.5,20,84.913342
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,3,44247,7.5,39,47.194724
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,196460,7.5,20,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,143238,2.5,12,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,105309,17.5,32,59.829532
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,232743,12.5,19,84.54173
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,190265,17.5,32,163.602183
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,149274,2.5,12,59.829532
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,78761,12.5,33,32.980565
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,10,367256,2.5,11,84.913342
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,201566,30.0,16,84.54173
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,85398,17.5,32,59.829532
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,376106,7.5,10,84.54173
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,153982,12.5,39,84.913342
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,168141,12.5,39,105.07329299999999
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,279646,2.5,18,80.639804
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,3,169911,7.5,39,73.672079
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,314159,2.5,19,84.913342
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,115044,12.5,33,53.512128
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,353982,2.5,18,80.639804
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,295575,2.5,17,77.016587
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,212389,2.5,18,80.639804
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,157522,17.5,32,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,120353,17.5,32,59.829532
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,212389,30.0,16,107.76748
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,346902,2.5,17,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,161946,7.5,20,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,144752,2.5,12,59.829532
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,265486,2.5,11,59.829532
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,113716,7.5,20,53.140516
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,172566,7.5,20,84.913342
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,68141,17.5,28,51.839874
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,200000,2.5,19,84.913342
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,149619,30.0,16,84.54173
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,61946,17.5,32,59.829532
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,203982,7.5,20,84.913342
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,81858,12.5,33,32.980565
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,192920,30.0,16,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,259026,2.5,12,84.263021
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,354867,2.5,11,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,176991,17.5,32,163.602183
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,175221,30.0,16,84.54173
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,193805,12.5,19,59.086308
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,102601,2.5,12,39.576678
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,361946,2.5,18,128.856461
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,168141,2.5,17,77.016587
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,163716,30.0,16,84.54173
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,276106,2.5,11,59.45792
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,170796,12.5,39,127.927431
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,173008,17.5,32,134.802253
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,227433,17.5,32,217.114311
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,263716,2.5,18,80.639804
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,287610,2.5,11,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,149274,2.5,12,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,460176,2.5,18,128.856461
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,265486,30.0,16,84.54173
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,150442,17.5,32,84.913342
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,168141,2.5,19,83.891409
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,341150,2.5,11,84.913342
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,3,194690,2.5,47,72.371437
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,378761,2.5,19,191.008568
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,442477,2.5,18,157.00607
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,3,115044,2.5,47,80.918513
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,342477,2.5,19,161.929929
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,100000,17.5,28,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,181415,17.5,32,163.602183
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,370796,2.5,18,137.775149
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,38761,12.5,33,32.980565
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,149274,2.5,12,59.829532
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,349557,2.5,11,84.913342
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,287610,2.5,19,133.501611
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,137168,7.5,20,69.026929
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,191150,2.5,18,80.639804
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,529203,2.5,18,179.116984
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,96460,12.5,33,59.45792
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,218584,17.5,32,163.602183
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,315929,2.5,18,123.932602
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,201327,2.5,19,83.891409
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,168141,17.5,32,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,164601,17.5,32,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,178761,17.5,32,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,210619,7.5,20,53.140516
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,330973,2.5,11,78.595938
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,383185,2.5,18,137.775149
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,200884,17.5,32,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,149274,2.5,12,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,343628,2.5,18,152.63962899999999
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,214159,12.5,39,121.981639
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,216814,2.5,17,84.913342
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,3,194690,2.5,47,83.891409
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,256637,17.5,32,134.802253
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,356637,2.5,18,128.856461
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,10,369026,2.5,11,84.913342
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,462831,2.5,18,157.00607
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,157522,17.5,32,84.913342
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,250000,30.0,16,107.76748
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,327433,2.5,18,118.265519
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,130973,7.5,20,53.140516
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,63274,17.5,28,51.839874
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,384070,2.5,11,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,398230,2.5,18,141.119657
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,84070,17.5,33,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,146256,2.5,12,59.829532
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,189380,12.5,39,105.07329299999999
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,349557,2.5,11,84.263021
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,84955,17.5,28,39.94829
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,88495,7.5,20,53.140516
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,253982,12.5,19,59.086308
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,371681,2.5,18,129.506782
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,88495,17.5,32,59.829532
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,300884,2.5,19,161.929929
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,265486,2.5,19,133.501611
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,168141,17.5,32,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,309734,2.5,12,84.54173
